fpr,tpr
0.0,0.0
0.0006858710562414266,0.0
0.0027434842249657062,0.0
0.0027434842249657062,0.013333333333333334
0.00411522633744856,0.013333333333333334
0.00411522633744856,0.02666666666666667
0.006172839506172839,0.02666666666666667
0.006172839506172839,0.04
0.0075445816186556925,0.04
0.0075445816186556925,0.05333333333333334
0.010973936899862825,0.05333333333333334
0.010973936899862825,0.06666666666666667
0.01440329218106996,0.06666666666666667
0.01440329218106996,0.08
0.01646090534979424,0.08
0.01646090534979424,0.09333333333333334
0.0205761316872428,0.09333333333333334
0.0205761316872428,0.10666666666666667
0.02263374485596708,0.10666666666666667
0.02263374485596708,0.13333333333333333
0.02400548696844993,0.13333333333333333
0.02400548696844993,0.14666666666666667
0.024691358024691357,0.14666666666666667
0.024691358024691357,0.16
0.02606310013717421,0.16
0.02606310013717421,0.17333333333333334
0.026748971193415638,0.17333333333333334
0.026748971193415638,0.18666666666666668
0.029492455418381344,0.18666666666666668
0.029492455418381344,0.2
0.03017832647462277,0.2
0.03017832647462277,0.24
0.0438957475994513,0.24
0.0438957475994513,0.25333333333333335
0.04526748971193416,0.25333333333333335
0.04526748971193416,0.28
0.04801097393689986,0.28
0.04801097393689986,0.30666666666666664
0.05075445816186557,0.30666666666666664
0.05075445816186557,0.32
0.0541838134430727,0.32
0.0541838134430727,0.3333333333333333
0.05761316872427984,0.3333333333333333
0.05761316872427984,0.3466666666666667
0.059670781893004114,0.3466666666666667
0.059670781893004114,0.36
0.06790123456790123,0.36
0.06790123456790123,0.37333333333333335
0.07133058984910837,0.37333333333333335
0.07133058984910837,0.4
0.08093278463648834,0.4
0.08093278463648834,0.41333333333333333
0.08299039780521263,0.41333333333333333
0.08299039780521263,0.4266666666666667
0.0877914951989026,0.4266666666666667
0.0877914951989026,0.44
0.1083676268861454,0.44
0.1083676268861454,0.4533333333333333
0.11934156378600823,0.4533333333333333
0.11934156378600823,0.4666666666666667
0.12482853223593965,0.4666666666666667
0.12482853223593965,0.48
0.12551440329218108,0.48
0.12551440329218108,0.49333333333333335
0.12962962962962962,0.49333333333333335
0.12962962962962962,0.5066666666666667
0.14540466392318244,0.5066666666666667
0.14540466392318244,0.52
0.14814814814814814,0.52
0.14814814814814814,0.5333333333333333
0.16117969821673525,0.5333333333333333
0.16117969821673525,0.5466666666666666
0.17421124828532236,0.5466666666666666
0.17421124828532236,0.56
0.17901234567901234,0.56
0.17901234567901234,0.5733333333333334
0.18106995884773663,0.5733333333333334
0.18106995884773663,0.5866666666666667
0.1831275720164609,0.5866666666666667
0.1831275720164609,0.6
0.18792866941015088,0.6
0.18792866941015088,0.6133333333333333
0.1886145404663923,0.6133333333333333
0.1886145404663923,0.6266666666666667
0.19135802469135801,0.6266666666666667
0.19135802469135801,0.64
0.20164609053497942,0.64
0.20164609053497942,0.6533333333333333
0.20919067215363513,0.6533333333333333
0.20919067215363513,0.68
0.2139917695473251,0.68
0.2139917695473251,0.6933333333333334
0.24005486968449932,0.6933333333333334
0.24005486968449932,0.7066666666666667
0.25171467764060357,0.7066666666666667
0.25171467764060357,0.72
0.2578875171467764,0.72
0.2578875171467764,0.7333333333333333
0.2681755829903978,0.7333333333333333
0.2681755829903978,0.7466666666666667
0.29766803840877915,0.7466666666666667
0.29766803840877915,0.76
0.3271604938271605,0.76
0.3271604938271605,0.7733333333333333
0.32853223593964337,0.7733333333333333
0.32853223593964337,0.7866666666666666
0.3340192043895748,0.7866666666666666
0.3340192043895748,0.8
0.34910836762688613,0.8
0.34910836762688613,0.8133333333333334
0.3943758573388203,0.8133333333333334
0.3943758573388203,0.8266666666666667
0.4012345679012346,0.8266666666666667
0.4012345679012346,0.84
0.4046639231824417,0.84
0.4046639231824417,0.8533333333333334
0.41426611796982166,0.8533333333333334
0.41426611796982166,0.8666666666666667
0.43072702331961593,0.8666666666666667
0.43072702331961593,0.88
0.4451303155006859,0.88
0.4451303155006859,0.8933333333333333
0.4458161865569273,0.8933333333333333
0.4458161865569273,0.9066666666666666
0.4691358024691358,0.9066666666666666
0.4691358024691358,0.92
0.4835390946502058,0.92
0.4835390946502058,0.9333333333333333
0.5212620027434842,0.9333333333333333
0.5212620027434842,0.9466666666666667
0.7277091906721537,0.9466666666666667
0.7277091906721537,0.96
0.7421124828532236,0.96
0.7421124828532236,0.9733333333333334
0.7544581618655692,0.9733333333333334
0.7544581618655692,0.9866666666666667
0.7695473251028807,0.9866666666666667
0.7695473251028807,1.0
0.9396433470507545,1.0
0.9410150891632373,1.0
1.0,1.0
